"No.","Time","Source","Destination","Protocol","Length","Info"
"228","3.657897","192.168.79.132","192.168.79.131","TCP","60","1736  >  80 [SYN] Seq=0 Win=512 Len=0"
"229","3.659125","192.168.79.132","192.168.79.131","TCP","60","1737  >  80 [SYN] Seq=0 Win=512 Len=0"
"230","3.660297","192.168.79.132","192.168.79.131","TCP","60","1738  >  80 [SYN] Seq=0 Win=512 Len=0"
"231","3.661469","192.168.79.132","192.168.79.131","TCP","60","1739  >  80 [SYN] Seq=0 Win=512 Len=0"
"232","3.662653","192.168.79.132","192.168.79.131","TCP","60","1740  >  80 [SYN] Seq=0 Win=512 Len=0"
"233","3.663892","192.168.79.132","192.168.79.131","TCP","60","1741  >  80 [SYN] Seq=0 Win=512 Len=0"
"234","3.665327","192.168.79.132","192.168.79.131","TCP","60","1742  >  80 [SYN] Seq=0 Win=512 Len=0"
"235","3.666564","192.168.79.132","192.168.79.131","TCP","60","1743  >  80 [SYN] Seq=0 Win=512 Len=0"
"236","3.667660","192.168.79.132","192.168.79.131","TCP","60","1744  >  80 [SYN] Seq=0 Win=512 Len=0"
"237","3.669144","192.168.79.132","192.168.79.131","TCP","60","1745  >  80 [SYN] Seq=0 Win=512 Len=0"
"238","3.670172","192.168.79.132","192.168.79.131","TCP","60","1746  >  80 [SYN] Seq=0 Win=512 Len=0"
"239","3.671396","192.168.79.132","192.168.79.131","TCP","60","1747  >  80 [SYN] Seq=0 Win=512 Len=0"
"240","3.672804","192.168.79.132","192.168.79.131","TCP","60","1748  >  80 [SYN] Seq=0 Win=512 Len=0"
"241","3.673880","192.168.79.132","192.168.79.131","TCP","60","1749  >  80 [SYN] Seq=0 Win=512 Len=0"
"242","3.675135","192.168.79.132","192.168.79.131","TCP","60","1750  >  80 [SYN] Seq=0 Win=512 Len=0"
"243","3.676320","192.168.79.132","192.168.79.131","TCP","60","1751  >  80 [SYN] Seq=0 Win=512 Len=0"
"244","3.677557","192.168.79.132","192.168.79.131","TCP","60","1752  >  80 [SYN] Seq=0 Win=512 Len=0"
"245","3.678743","192.168.79.132","192.168.79.131","TCP","60","1753  >  80 [SYN] Seq=0 Win=512 Len=0"
"246","3.679969","192.168.79.132","192.168.79.131","TCP","60","1754  >  80 [SYN] Seq=0 Win=512 Len=0"
"247","3.681358","192.168.79.132","192.168.79.131","TCP","60","1755  >  80 [SYN] Seq=0 Win=512 Len=0"
"248","3.682504","192.168.79.132","192.168.79.131","TCP","60","1756  >  80 [SYN] Seq=0 Win=512 Len=0"
"249","3.683758","192.168.79.132","192.168.79.131","TCP","60","1757  >  80 [SYN] Seq=0 Win=512 Len=0"
"250","3.685607","192.168.79.132","192.168.79.131","TCP","60","1758  >  80 [SYN] Seq=0 Win=512 Len=0"
"251","3.686328","192.168.79.132","192.168.79.131","TCP","60","1759  >  80 [SYN] Seq=0 Win=512 Len=0"
"252","3.687688","192.168.79.132","192.168.79.131","TCP","60","1760  >  80 [SYN] Seq=0 Win=512 Len=0"
"253","3.688966","192.168.79.132","192.168.79.131","TCP","60","1761  >  80 [SYN] Seq=0 Win=512 Len=0"
"254","3.690175","192.168.79.132","192.168.79.131","TCP","60","1762  >  80 [SYN] Seq=0 Win=512 Len=0"
"255","3.691463","192.168.79.132","192.168.79.131","TCP","60","1763  >  80 [SYN] Seq=0 Win=512 Len=0"
"256","3.692688","192.168.79.132","192.168.79.131","TCP","60","1764  >  80 [SYN] Seq=0 Win=512 Len=0"
"257","3.693939","192.168.79.132","192.168.79.131","TCP","60","1765  >  80 [SYN] Seq=0 Win=512 Len=0"
"258","3.695227","192.168.79.132","192.168.79.131","TCP","60","1766  >  80 [SYN] Seq=0 Win=512 Len=0"
"259","3.696726","192.168.79.132","192.168.79.131","TCP","60","1767  >  80 [SYN] Seq=0 Win=512 Len=0"
"260","3.697956","192.168.79.132","192.168.79.131","TCP","60","1768  >  80 [SYN] Seq=0 Win=512 Len=0"
